season_label,minute,label,matches
2025-26,50,50,4
2025-26,51,51,4
2025-26,52,52,0
2025-26,53,53,2
2025-26,54,54,3
2025-26,55,55,2
2025-26,56,56,1
2025-26,57,57,0
2025-26,58,58,7
2025-26,59,59,1
2025-26,60,60,4
2025-26,61,61,7
2025-26,62,62,1
2025-26,63,63,3
2025-26,64,64,0
2025-26,65,65,2
2025-26,66,66,0
2025-26,67,67,5
2025-26,68,68,0
2025-26,69,69,0
2025-26,70,70,4
2025-26,71,71,3
2025-26,72,72,1
2025-26,73,73,2
2025-26,74,74,2
2025-26,75,75,0
2025-26,76,76,0
2025-26,77,77,1
2025-26,78,78,2
2025-26,79,79,0
2025-26,80,80,0
2025-26,81,81,1
2025-26,82,82,1
2025-26,83,83,2
2025-26,84,84,3
2025-26,85,85,1
2025-26,86,86,1
2025-26,87,87,0
2025-26,88,88,0
2025-26,89,89,1
2025-26,90,90,1
2025-26,91,90+,5
