manager_name,team_id,games,wins,draws,losses,win_pct
Steve Bruce,88,76,18,18,40,23.7
Steve Bruce,111,62,20,17,25,32.3
Steve Clarke,35,53,17,13,23,32.1
Steve Clarke,4,1,0,0,1,0.0
Steve Cooper,17,55,12,16,27,21.8
Steve Cooper,13,12,2,4,6,16.7
Steve Coppell,108,76,26,13,37,34.2
Steve Coppell,31,70,16,24,30,22.9
Steve Davis,39,7,1,1,5,14.3
Steve Kean,5,59,13,14,32,22.0
Steve McClaren,25,190,64,50,76,33.7
Steve McClaren,4,28,6,6,16,21.4
Steve Perryman,6,1,0,0,1,0.0
Steve Wigley,20,16,1,8,7,6.3
Steven Gerrard,7,38,12,8,18,31.6
Stewart Houston,3,18,6,4,8,33.3
Stuart Gray,20,17,4,2,11,23.5
Stuart Gray,7,2,0,2,0,0.0
Stuart McCall,55,2,0,0,2,0.0
Stuart Pearce,43,84,28,17,39,33.3
Stuart Pearce,17,20,5,9,6,25.0
Sven-Göran Eriksson,43,38,15,10,13,39.5
Terry Burton,1736,2,0,1,1,0.0
Terry Connor,39,13,0,4,9,0.0
Terry McDermott,4,1,0,1,0,0.0
Terry Venables,2,30,10,4,16,33.3
Terry Venables,25,22,7,10,5,31.8
Thomas Frank,94,152,54,38,60,35.5
Thomas Frank,6,26,7,8,11,26.9
Thomas Tuchel,8,63,35,17,11,55.6
Tim Sherwood,7,23,6,2,15,26.1
Tim Sherwood,6,22,13,3,6,59.1
Tomas Brolin,31,7,2,0,5,28.6
Tony Adams,47,16,2,5,9,12.5
Tony Book,43,1,0,1,0,0.0
Tony Mowbray,35,38,8,8,22,21.1
Tony Parkes,5,28,9,11,8,32.1
Tony Pulis,110,190,56,57,77,29.5
Tony Pulis,35,107,31,32,44,29.0
Tony Pulis,31,27,12,5,10,44.4
Trevor Brooking,21,3,2,1,0,66.7
Trevor Francis,19,126,44,42,40,34.9
Unai Emery,7,139,73,29,37,52.5
Unai Emery,3,51,25,13,13,49.0
Velimir Zajec,47,13,2,2,9,15.4
Vincent Kompany,90,38,5,9,24,13.2
Vítor Pereira,39,32,10,5,17,31.3
Vítor Pereira,17,12,4,5,3,33.3
Walter Mazzarri,57,38,11,7,20,28.9
Walter Smith,11,143,41,42,60,28.7
Xisco Muñoz,57,7,2,1,4,28.6
